userid,nombre,email,passwd,genero,provincia,votos,rating
52260,Jaime Santiago Borja,jaime@ejemplo.com,1234,M,Chimborazo,2419.0,3.110582885489872
89495,Hugo Herrera,hugo@ejemplo.com,1234,M,Pichincha,2153.0,3.6244774732930796
19590,Jorge López,jorge@ejemplo.com,1234,M,Pichincha,2006.0,3.3743768693918246
88604,Uniandes,uniandes@ejemplo.com,1234,F,Chimborazo,1464.0,3.501366120218579
15720,Liliana Carvajal Jódar,liliana.carvajal.jodar@ejemplo.com,1234,F,Sucumbíos,1456.0,3.337912087912088
28688,Sol Mosquera,sol.mosquera@ejemplo.com,1234,M,Galápagos,1452.0,3.1008953168044076
23039,Telmo Sosa,telmo.sosa@ejemplo.com,1234,M,Azuay,1378.0,3.835631349782293
51558,Visitación Salazar Valero,visitacion.salazar.valero@ejemplo.com,1234,F,Los Ríos,1339.0,2.513816280806572
28916,Emiliana Pinedo Avilés,emiliana.pinedo.aviles@ejemplo.com,1234,F,Cotopaxi,1319.0,3.0928733889310083
42152,Alex Sarabia Ferrández,alex.sarabia.ferrandez@ejemplo.com,1234,F,Esmeraldas,1224.0,2.7401960784313726
74136,Rolando Novoa Sarmiento,rolando.novoa.sarmiento@ejemplo.com,1234,M,Bolívar,1215.0,2.6987654320987655
51995,Matías Jose Ignacio Rey Ramirez,matias.jose.ignacio.rey.ramirez@ejemplo.com,1234,M,Imbabura,1119.0,3.927613941018767
79570,Alcides Vinicio González Hurtado,alcides.vinicio.gonzalez.hurtado@ejemplo.com,1234,F,Cañar,1078.0,3.726345083487941
135828,Encarnita del Marí,encarnita.del.mari@ejemplo.com,1234,M,Azuay,1065.0,3.57981220657277
124460,Alfredo Guardia Palomino,alfredo.guardia.palomino@ejemplo.com,1234,M,Santo Domingo de los Tsáchilas,1046.0,3.0807839388145317
13244,Dominga Violeta Cerezo Calleja,dominga.violeta.cerezo.calleja@ejemplo.com,1234,F,Carchi,1000.0,3.366
46072,Ramón Duarte Ávila,ramon.duarte.avila@ejemplo.com,1234,F,Chimborazo,978.0,3.013292433537832
112418,Roque Pardo Escrivá,roque.pardo.escriva@ejemplo.com,1234,F,Chimborazo,960.0,3.1484375
102442,Micaela Viñas Campos,micaela.viñas.campos@ejemplo.com,1234,F,Imbabura,934.0,3.3704496788008567
30507,Graciana Pons-Pozuelo,graciana.pons-pozuelo@ejemplo.com,1234,M,Guayas,911.0,3.1750823271130626
109096,Miguel Badía Tapia,miguel.badia.tapia@ejemplo.com,1234,F,Zamora Chinchipe,901.0,2.325749167591565
103906,Genoveva Morante,genoveva.morante@ejemplo.com,1234,M,Santa Elena,894.0,3.01006711409396
137717,Loreto Dionisio Álamo Gonzalo,loreto.dionisio.alamo.gonzalo@ejemplo.com,1234,M,El Oro,882.0,3.2675736961451247
109569,Piedad de Posada,piedad.de.posada@ejemplo.com,1234,M,Pastaza,875.0,3.057714285714286
51456,Íñigo Barroso Taboada,iñigo.barroso.taboada@ejemplo.com,1234,M,Esmeraldas,870.0,3.277586206896552
24397,Eustaquio Lago Velázquez,eustaquio.lago.velazquez@ejemplo.com,1234,M,Azuay,856.0,2.7225467289719627
132629,Amada Larrea-Sánchez,amada.larrea-sanchez@ejemplo.com,1234,F,Zamora Chinchipe,818.0,3.4266503667481665
132073,Arturo Iniesta Múñiz,arturo.iniesta.muñiz@ejemplo.com,1234,M,Napo,814.0,3.482186732186732
92358,Rosenda Hervia,rosenda.hervia@ejemplo.com,1234,F,Santa Elena,797.0,3.496863237139272
19566,Xiomara de Santamaría,xiomara.de.santamaria@ejemplo.com,1234,M,Chimborazo,761.0,3.2634691195795007
32341,Yéssica del Bauzà,yessica.del.bauzà@ejemplo.com,1234,M,Cañar,757.0,2.965653896961691
48909,Oriana de Villalobos,oriana.de.villalobos@ejemplo.com,1234,M,Napo,735.0,3.7095238095238097
65687,Manu Prats Coloma,manu.prats.coloma@ejemplo.com,1234,F,Imbabura,722.0,1.9799168975069252
108667,Rolando Girón Duran,rolando.giron.duran@ejemplo.com,1234,F,Carchi,705.0,3.1156028368794324
75270,Macario Becerra Mayo,macario.becerra.mayo@ejemplo.com,1234,F,Cañar,702.0,3.368233618233618
77629,Virginia Farré Márquez,virginia.farre.marquez@ejemplo.com,1234,M,Imbabura,702.0,2.918091168091168
61923,Chucho Tovar Tovar,chucho.tovar.tovar@ejemplo.com,1234,F,Napo,696.0,3.0474137931034484
40721,Heriberto Pardo Feliu,heriberto.pardo.feliu@ejemplo.com,1234,M,Bolívar,691.0,3.1483357452966714
136684,Victorino Mercader Izquierdo,victorino.mercader.izquierdo@ejemplo.com,1234,M,Pichincha,678.0,3.2898230088495577
15030,Ariel Puig Riera,ariel.puig.riera@ejemplo.com,1234,M,Los Ríos,676.0,3.496301775147929
54075,Esteban González,esteban.gonzalez@ejemplo.com,1234,M,Sucumbíos,668.0,3.413922155688623
29100,Herberto Parejo-Cánovas,herberto.parejo-canovas@ejemplo.com,1234,M,Loja,660.0,2.4946969696969696
105333,Aroa Abril Santamaria Cifuentes,aroa.abril.santamaria.cifuentes@ejemplo.com,1234,M,Esmeraldas,655.0,3.0366412213740457
120524,Marino Olmo Cortina,marino.olmo.cortina@ejemplo.com,1234,F,Los Ríos,645.0,1.9736434108527132
85554,Baudelio del Medina,baudelio.del.medina@ejemplo.com,1234,F,Napo,639.0,3.008607198748044
128671,Laura Iglesias Mena,laura.iglesias.mena@ejemplo.com,1234,F,Los Ríos,638.0,3.5352664576802506
99734,Norberto Colom-Llorente,norberto.colom-llorente@ejemplo.com,1234,F,Loja,631.0,3.7456418383518226
97059,Luis Cuesta Alegre,luis.cuesta.alegre@ejemplo.com,1234,F,Azuay,630.0,2.519047619047619
75941,Marta Alberdi Cornejo,marta.alberdi.cornejo@ejemplo.com,1234,M,Santa Elena,629.0,2.866454689984102
59417,Dominga de Roma,dominga.de.roma@ejemplo.com,1234,M,Imbabura,619.0,4.4119547657512115
108609,Luis Ángel Patiño-Alcalá,luis.angel.patiño-alcala@ejemplo.com,1234,M,Esmeraldas,612.0,4.283496732026144
106180,Luciano Osuna Álvarez,luciano.osuna.alvarez@ejemplo.com,1234,F,Sucumbíos,607.0,3.6054365733113674
94736,Maite Rosales,maite.rosales@ejemplo.com,1234,F,Chimborazo,601.0,2.861064891846922
125541,Benita Roma Giralt,benita.roma.giralt@ejemplo.com,1234,M,Santa Elena,601.0,3.7762063227953413
70035,Nidia Dueñas-Campos,nidia.dueñas-campos@ejemplo.com,1234,M,Zamora Chinchipe,598.0,3.720735785953177
123260,Camila Bou Folch,camila.bou.folch@ejemplo.com,1234,F,Santo Domingo de los Tsáchilas,591.0,3.3274111675126905
97260,Ligia Vilar Baeza,ligia.vilar.baeza@ejemplo.com,1234,M,Manabí,590.0,3.4059322033898307
122735,Fátima Bru Paniagua,fatima.bru.paniagua@ejemplo.com,1234,F,Loja,576.0,3.3472222222222223
11443,Emelina Sanchez-Muro,emelina.sanchez-muro@ejemplo.com,1234,M,Guayas,568.0,3.421654929577465
74735,Flora Coca-Tejada,flora.coca-tejada@ejemplo.com,1234,F,Tungurahua,549.0,3.948998178506375
74360,Nicolasa del Saavedra,nicolasa.del.saavedra@ejemplo.com,1234,M,Morona Santiago,549.0,2.843351548269581
102570,Custodia Nereida Salas Ripoll,custodia.nereida.salas.ripoll@ejemplo.com,1234,M,Loja,549.0,1.4143897996357013
37956,Patricio Jacinto Figueras Larrañaga,patricio.jacinto.figueras.larrañaga@ejemplo.com,1234,M,El Oro,545.0,3.7376146788990825
41703,Elba Chacón Espada,elba.chacon.espada@ejemplo.com,1234,M,El Oro,541.0,3.722735674676525
62901,Calista Estévez Cantón,calista.estevez.canton@ejemplo.com,1234,F,Manabí,540.0,2.8833333333333333
25992,Alcides del Azcona,alcides.del.azcona@ejemplo.com,1234,F,Imbabura,538.0,3.690520446096654
48770,Catalina Herrero Blázquez,catalina.herrero.blazquez@ejemplo.com,1234,M,Esmeraldas,532.0,3.0996240601503757
106476,Leonel Teobaldo Carreño Lorenzo,leonel.teobaldo.carreño.lorenzo@ejemplo.com,1234,M,Pichincha,520.0,3.6942307692307694
137031,Marisela Royo-Alcolea,marisela.royo-alcolea@ejemplo.com,1234,F,Santa Elena,517.0,3.4845261121856868
318,Lupe Suárez,lupe.suarez@ejemplo.com,1234,M,Chimborazo,511.0,3.015655577299413
843,Federico Ropero Sebastián,federico.ropero.sebastian@ejemplo.com,1234,M,Sucumbíos,503.0,2.475149105367793
104185,Rolando Falcó,rolando.falco@ejemplo.com,1234,M,Bolívar,502.0,3.6294820717131473
16085,Desiderio Goicoechea Urrutia,desiderio.goicoechea.urrutia@ejemplo.com,1234,M,Manabí,497.0,3.211267605633803
26934,María Cristina Gil Monreal,maria.cristina.gil.monreal@ejemplo.com,1234,F,Esmeraldas,489.0,3.9028629856850716
62897,Manuel Piñol,manuel.piñol@ejemplo.com,1234,M,Carchi,487.0,3.7720739219712525
77641,Ruy del Vives,ruy.del.vives@ejemplo.com,1234,F,Chimborazo,482.0,3.2894190871369293
119157,Hector Tito Sanjuan Hernández,hector.tito.sanjuan.hernandez@ejemplo.com,1234,M,Manabí,480.0,3.425
34579,Ainara Calderón Puga,ainara.calderon.puga@ejemplo.com,1234,F,Chimborazo,472.0,3.955508474576271
60016,Lope Gaya-Agustín,lope.gaya-agustin@ejemplo.com,1234,F,Napo,469.0,3.286780383795309
30915,Gabino Bas Bolaños,gabino.bas.bolaños@ejemplo.com,1234,F,Tungurahua,468.0,3.074786324786325
37250,Evangelina Vergara Camacho,evangelina.vergara.camacho@ejemplo.com,1234,F,Galápagos,466.0,3.2285407725321886
62507,Adoración Meléndez Ariza,adoracion.melendez.ariza@ejemplo.com,1234,M,Pichincha,465.0,3.378494623655914
50436,Gertrudis Hernando,gertrudis.hernando@ejemplo.com,1234,F,Azuay,463.0,3.3153347732181424
2928,Mariana Andreu Uría,mariana.andreu.uria@ejemplo.com,1234,M,Imbabura,458.0,2.7314410480349345
123352,Angelita Posada Barranco,angelita.posada.barranco@ejemplo.com,1234,M,Guayas,457.0,3.322757111597374
36281,Irma Perelló López,irma.perello.lopez@ejemplo.com,1234,M,Azuay,457.0,4.204595185995624
78393,Rufina Aliaga Cobo,rufina.aliaga.cobo@ejemplo.com,1234,F,Galápagos,452.0,3.4944690265486726
4605,Ruth del Aliaga,ruth.del.aliaga@ejemplo.com,1234,M,Sucumbíos,452.0,2.7920353982300883
37508,Eladio Santamaria-Ordóñez,eladio.santamaria-ordoñez@ejemplo.com,1234,F,Carchi,451.0,4.086474501108648
37283,Victorino Vilaplana Ibáñez,victorino.vilaplana.ibañez@ejemplo.com,1234,F,Bolívar,440.0,2.835227272727273
85833,Purificación Izaguirre Torrents,purificacion.izaguirre.torrents@ejemplo.com,1234,M,Galápagos,438.0,2.9166666666666665
63954,Trini Aliaga Beltran,trini.aliaga.beltran@ejemplo.com,1234,F,Orellana,438.0,4.405251141552512
108159,Matilde Rafaela Alberto Portillo,matilde.rafaela.alberto.portillo@ejemplo.com,1234,M,Napo,437.0,3.38558352402746
79447,Gaspar René Roldan Ayala,gaspar.rene.roldan.ayala@ejemplo.com,1234,F,Orellana,434.0,2.8559907834101383
70159,Claudio Atienza Acosta,claudio.atienza.acosta@ejemplo.com,1234,M,Napo,430.0,3.4139534883720932
130781,Mamen Maza Bello,mamen.maza.bello@ejemplo.com,1234,F,Los Ríos,424.0,3.3820754716981134
1644,Bernardo Lasa Sanjuan,bernardo.lasa.sanjuan@ejemplo.com,1234,M,Tungurahua,424.0,3.2429245283018866
77297,Adán Zabaleta Saldaña,adan.zabaleta.saldaña@ejemplo.com,1234,M,Santa Elena,420.0,3.5892857142857144
132062,Valentina del Domínguez,valentina.del.dominguez@ejemplo.com,1234,M,Orellana,417.0,3.918465227817746
76630,Alondra Marco Puente,alondra.marco.puente@ejemplo.com,1234,F,Los Ríos,417.0,2.790167865707434
123759,Narciso Nazaret Montero Montenegro,narciso.nazaret.montero.montenegro@ejemplo.com,1234,M,Napo,414.0,2.745169082125604
40466,Jenny Imelda Muro Caballero,jenny.imelda.muro.caballero@ejemplo.com,1234,M,Santo Domingo de los Tsáchilas,412.0,2.9344660194174756
36566,Eugenio Narciso Múñiz Godoy,eugenio.narciso.muñiz.godoy@ejemplo.com,1234,M,Santa Elena,411.0,3.6545012165450124
77533,Valentín Barreda Gallo,valentin.barreda.gallo@ejemplo.com,1234,M,Pichincha,411.0,2.9817518248175183
52650,Saturnino Guillen Acedo,saturnino.guillen.acedo@ejemplo.com,1234,M,Santo Domingo de los Tsáchilas,408.0,3.4387254901960786
86131,Cruz Bermudez Sedano,cruz.bermudez.sedano@ejemplo.com,1234,M,Bolívar,406.0,3.0541871921182264
87143,Ruperto Oliver Duran,ruperto.oliver.duran@ejemplo.com,1234,M,Napo,403.0,3.8163771712158807
93350,Mario Cuenca Anglada,mario.cuenca.anglada@ejemplo.com,1234,M,Pichincha,403.0,2.6823821339950373
125690,Ambrosio Vidal Diez,ambrosio.vidal.diez@ejemplo.com,1234,F,Cañar,402.0,3.02363184079602
125587,José Luis Rey,jose.luis.rey@ejemplo.com,1234,F,Esmeraldas,400.0,3.6975
15844,Elena Leiva Baena,elena.leiva.baena@ejemplo.com,1234,M,Cotopaxi,400.0,3.18
80097,Emilio Lisandro Vaquero Valle,emilio.lisandro.vaquero.valle@ejemplo.com,1234,F,Bolívar,398.0,3.2236180904522613
68788,Valeria del Pedraza,valeria.del.pedraza@ejemplo.com,1234,M,Azuay,397.0,3.3236775818639797
100612,Emilio Niño Gimenez,emilio.niño.gimenez@ejemplo.com,1234,F,Galápagos,396.0,4.202020202020202
34613,Carlota Diez Nevado,carlota.diez.nevado@ejemplo.com,1234,M,Bolívar,395.0,3.8974683544303796
121917,Ileana Huerta,ileana.huerta@ejemplo.com,1234,F,Sucumbíos,395.0,3.6443037974683543
11250,Herminio Navarrete Tamarit,herminio.navarrete.tamarit@ejemplo.com,1234,M,Cotopaxi,390.0,3.75
77460,Emma Barbero,emma.barbero@ejemplo.com,1234,F,Galápagos,390.0,3.9461538461538463
46599,Moisés Barroso,moises.barroso@ejemplo.com,1234,F,Bolívar,389.0,2.634961439588689
20128,Irma Barral Cornejo,irma.barral.cornejo@ejemplo.com,1234,F,Sucumbíos,388.0,3.077319587628866
21853,Nazario Valls,nazario.valls@ejemplo.com,1234,M,Imbabura,388.0,3.679123711340206
37062,Benigno Paredes Elorza,benigno.paredes.elorza@ejemplo.com,1234,M,Cañar,387.0,1.8578811369509043
73024,Águeda Andres Valbuena,agueda.andres.valbuena@ejemplo.com,1234,M,Guayas,385.0,2.9233766233766234
115843,David Pardo Carretero,david.pardo.carretero@ejemplo.com,1234,M,Zamora Chinchipe,384.0,3.4830729166666665
118698,Eva Robledo Blázquez,eva.robledo.blazquez@ejemplo.com,1234,M,Cotopaxi,384.0,2.7161458333333335
127121,Jose Carlos de Montalbán,jose.carlos.de.montalban@ejemplo.com,1234,M,Orellana,384.0,3.51171875
52223,Marisa Cañete Ángel,marisa.cañete.angel@ejemplo.com,1234,F,Sucumbíos,382.0,3.281413612565445
76797,Teresita del Coca,teresita.del.coca@ejemplo.com,1234,F,Azuay,381.0,3.2191601049868765
14103,Tristán Andrés-Roselló,tristan.andres-rosello@ejemplo.com,1234,M,Bolívar,381.0,4.619422572178478
28548,Ciriaco Flores Vaquero,ciriaco.flores.vaquero@ejemplo.com,1234,F,Cañar,373.0,3.792225201072386
20180,Florentino Ramírez Exposito,florentino.ramirez.exposito@ejemplo.com,1234,F,Loja,372.0,3.35752688172043
59979,Marcelo Rius-Vazquez,marcelo.rius-vazquez@ejemplo.com,1234,F,Morona Santiago,370.0,3.6256756756756756
3029,Gustavo del Santamaría,gustavo.del.santamaria@ejemplo.com,1234,F,Napo,368.0,2.4130434782608696
27135,Anastasio Alfaro Villanueva,anastasio.alfaro.villanueva@ejemplo.com,1234,M,Napo,366.0,3.2226775956284155
114452,Poncio Castilla Sevilla,poncio.castilla.sevilla@ejemplo.com,1234,F,Cañar,366.0,2.740437158469945
63875,Édgar Morata-Leon,edgar.morata-leon@ejemplo.com,1234,M,Carchi,361.0,3.6745152354570636
47978,Hernando Osorio Alcaraz,hernando.osorio.alcaraz@ejemplo.com,1234,M,Carchi,360.0,2.2527777777777778
72341,Leandra Pineda Sáez,leandra.pineda.saez@ejemplo.com,1234,F,Esmeraldas,358.0,3.596368715083799
41545,Gema Cobo Leiva,gema.cobo.leiva@ejemplo.com,1234,F,Manabí,358.0,3.213687150837989
115846,Isa Múñiz,isa.muñiz@ejemplo.com,1234,M,Santo Domingo de los Tsáchilas,357.0,3.3865546218487395
4281,Domingo Alcaraz Morell,domingo.alcaraz.morell@ejemplo.com,1234,F,Cotopaxi,356.0,3.6264044943820224
87953,Ámbar Colomer Bayo,ambar.colomer.bayo@ejemplo.com,1234,F,Sucumbíos,355.0,3.711267605633803
88144,Graciana Mínguez Téllez,graciana.minguez.tellez@ejemplo.com,1234,M,Orellana,354.0,4.012711864406779
9253,Antonia Marisa Mendoza Tomas,antonia.marisa.mendoza.tomas@ejemplo.com,1234,M,Imbabura,354.0,3.92090395480226
102853,Moreno Vallejo,moreno.vallejo@ejemplo.com,1234,F,Galápagos,350.0,3.037142857142857
